"data";"numeracaoItem";"titulo";"autor";"material";"esfera";"situacao";"assinatura";"publicacao";"assunto";"ementa"
"2021-10-08";"1.";"DSP - DESPACHO 3056/2021";"ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-05";"2021-10-08";"Acatamento";"Acata o pleito da Klabin S.A de forma que a apuração do consumo da Usina Termelétrica Klabin Celulose seja feita por meio de diferença entre o somatório dos pontos de medição na conexão dos transformadores no barramento da Subestação Klabin e a compensação das gerações das Usinas Termelétricas Klabin e Puma II - TG1, TG2 e TG3; as medições líquidas dos turbogeradores TG1 e TG2 da Usina Termelétrica Klabin Celulose sejam realizadas, de forma excepcional, por meio de algoritmo de compensação de perdas aplicado aos Sistemas de Medição para Faturamento – SMF atualmente instalados; a medição líquida do turbogerador TG3 da Usina Termelétrica Puma II seja realizada, de forma excepcional e temporária, por meio de algoritmo de compensação de perdas até a instalação definitiva do SMF no lado de alta do transformador elevador, que deve ocorrer no prazo determinado da publicação deste despacho. Imprimir"
"2021-10-08";"2.";"DSP - DESPACHO 3057/2021";"ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-05";"2021-10-08";"Juízo de mérito";"Conhece, e no mérito, concede parcial provimento, ao recurso administrativo interposto pela Norte Energia S.A em face do Auto de Infração SFG/ANEEL 017 de 2021, de 4 de maio de 2021, e fixa a penalidade de multa no valor citado pelo atraso do cronograma de implementação três unidades geradoras da Usina Hidrelétrica de Belo Monte. Imprimir"
"2021-10-08";"3.";"DSP - DESPACHO 3058/2021";"ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-05";"2021-10-08";"Juízo de mérito";"Conhece e, no mérito, nega provimento ao recurso administrativo interposto pela Campo Formoso I Energias Renováveis, em face do Auto de Infração SFG/ANEEL 0041 de 2021, mantendo a penalidade de multa no valor citado em decorrência do descumprimento, por parte da Central Geradora Eólica Vento de Campo Formoso I, do Submódulo 24.2 dos Procedimentos de Rede. Imprimir"
"2021-10-08";"4.";"DSP - DESPACHO 3059/2021";"ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-05";"2021-10-08";"Juízo de mérito";"Conhece e, no mérito, nega provimento ao recurso interposto pela Andorinha Energias Renováveis S.A em face do Auto de Infração SFG/ANEEL 042 de 2021, mantendo a penalidade de multa no valor citado em decorrência do descumprimento, por parte da Central Geradora Eólica Ventos da Andorinha, do Submódulo 24.2 dos Procedimentos de Rede. Imprimir"
"2021-10-08";"5.";"DSP - DESPACHO 3060/2021";"ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-05";"2021-10-08";"Juízo de mérito";"Conhece e, no mérito, nega provimento ao recurso interposto pela Morrinhos Energias Renováveis S.A em face do Auto de Infração SFG/ANEEL 043 de 2021, mantendo a penalidade de multa no valor citado em decorrência do descumprimento, por parte da Central Geradora Eólica Ventos de Morrinhos, do Submódulo 24.2 dos Procedimentos de Rede. Imprimir"
"2021-10-08";"6.";"DSP - DESPACHO 3061/2021";"ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-05";"2021-10-08";"Juízo de mérito";"Conhece e, no mérito, nega provimento ao recurso interposto pela Sertão Energias Renováveis S.A em face do Auto de Infração SFG/ANEEL 044 de 2021, mantendo a penalidade de multa no valor citado em decorrência do descumprimento, por parte da Central Geradora Eólica Ventos do Sertão, do Submódulo 24.2 dos Procedimentos de Rede. Imprimir"
"2021-10-08";"7.";"DSP - DESPACHO 3062/2021";"ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-05";"2021-10-08";"Juízo de mérito";"Conhece e, no mérito, nega provimento ao recurso administrativo interposto pela Campo Formoso II Energias Renováveis, em face do Auto de Infração SFG/ANEEL 0045 de 2021, mantendo a penalidade de multa no valor citado em decorrência do descumprimento, por parte da Central Geradora Eólica Vento de Campo Formoso II, do Submódulo 24.2 dos Procedimentos de Rede. Imprimir"
"2021-10-08";"8.";"DSP - DESPACHO 3063/2021";"ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-05";"2021-10-08";"Juízo de mérito";"Conhece e, no mérito, nega provimento ao recurso administrativo interposto pela Ventos de Santa Joana II Energias Renováveis S.A, em face do Auto de Infração SFG/ANEEL 046 de 2021, mantendo a penalidade de multa no valor citado, em decorrência do descumprimento do Submódulo 24.2 dos Procedimentos de Rede. Imprimir"
"2021-10-08";"9.";"DSP - DESPACHO 3066/2021";"ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-05";"2021-10-08";"Juízo de mérito";"Conhece e, no mérito, nega provimento ao recurso administrativo interposto pela Ventos de Santa Joana VIII Energias Renováveis S.A, em face do Auto de Infração SFG/ANEEL 0049 de 2021, mantendo a penalidade de multa no valor citado em decorrência do descumprimento do Submódulo 24.2 dos Procedimentos de Rede. Imprimir"
"2021-10-08";"10.";"DSP - DESPACHO 3067/2021";"ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-05";"2021-10-08";"Juízo de mérito";"Conhece e, no mérito, nega provimento ao recurso administrativo interposto pela Ventos de Santa Joana VI Energias Renováveis S.A, em face do Auto de Infração SFG/ANEEL 050 de 2021, mantendo a penalidade de multa no valor citado, em decorrência do descumprimento do Submódulo 24.2 dos Procedimentos de Rede. Imprimir"
"2021-10-08";"11.";"DSP - DESPACHO 3068/2021";"ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-05";"2021-10-08";"Juízo de mérito";"Conhece e, no mérito, nega provimento ao recurso administrativo interposto pela Ventos de Santa Joana XIV Energias Renováveis S.A, em face do Auto de Infração SFG/ANEEL 0051 de 2021, mantendo a penalidade de multa no valor citado em decorrência do descumprimento do Submódulo 24.2 dos Procedimentos de Rede. Imprimir"
"2021-10-08";"12.";"DSP - DESPACHO 3069/2021";"ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-05";"2021-10-08";"Juízo de mérito";"Conhece e, no mérito, nega provimento ao recurso administrativo interposto pela Ventos de Santo Onofre III Energias Renováveis S.A, em face do Auto de Infração SFG/ANEEL 052 de 2021, mantendo a penalidade de multa no valor citado, em decorrência do descumprimento do Submódulo 24.2 dos Procedimentos de Rede. Imprimir"
"2021-10-08";"13.";"DSP - DESPACHO 3070/2021";"ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-05";"2021-10-08";"Juízo de mérito";"Conhece e, no mérito, nega provimento ao recurso administrativo interposto pela Empresa Metropolitana de Águas e Energia S.A – Emae em face do Auto de Infração ARSESP 0001 de 2020, mantendo a penalidade de multa no valor citado; e determina que a Empresa Metropolitana de Águas e Energia S.A - EMAE encaminhe no prazo determinado os estudos e as providências necessárias para ampliar a capacidade de extravasão da Usina Hidrelétrica Rasgão. Imprimir"
"2021-10-08";"14.";"DSP - DESPACHO 3072/2021";"ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-05";"2021-10-08";"Juízo de reconsideração";"Conhece e, no mérito, nega provimento ao pedido de reconsideração interposto pela Solaris Transmissão de Energia S.A, em face da Resolução Autorizativa ANEEL 9.860, de 30 de março de 2021, que autorizou a Solaris Transmissão de Energia S.A. a implantar reforços em instalação de transmissão sob sua responsabilidade e estabeleceu os valores das correspondentes parcelas da Receita Anual Permitida - RAP. Imprimir"
"2021-10-08";"15.";"DSP - DESPACHO 3102/2021";"SCG/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-04";"2021-10-08";"Alteração";"Altera o sistema de transmissão de interesse restrito das usinas do Complexo Eólico Santo Agostinho, de titulatidade da Esperanza Transmissora de Energia S.A. Imprimir"
"2021-10-08";"16.";"DSP - DESPACHO 3113/2021";"SCG/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-07";"2021-10-08";"Alteração";"Altera a potência instalada, a potência líquida e a potência da unidade de contigência da Usina Termelétrica Manauara, outorgada à Companhia Energética Manauara — CEM; e adequa o combustível, que passará a ser exclusivamente gás natural, excluindo a utilização do óleo combustível A1 como alternativo. Imprimir"
"2021-10-08";"17.";"DSP - DESPACHO 3122/2021";"SRD/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-05";"2021-10-08";"Juízo de mérito";"Conhece e, no mérito, nega provimento ao pedido da Equatorial Pará para revisão do seu plano de universalização rural aprovado pela Resolução Homologatória ANEEL 2.545, de 14 de maio de 2019. Imprimir"
"2021-10-08";"18.";"DSP - DESPACHO 3123/2021";"ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-05";"2021-10-08";"Fixação";"Estabelece os seguintes critérios para a operação e contabilização de energia das Usinas Termelétricas Termomanaus e Pau Ferro I, até 31 de dezembro de 2021; estabelece que a CCEE e o ONS deverão se articular para dar cumprimento ao disposto nos itens acima; e determina que a Centrais Elétricas de Pernambuco S.A encaminhe à Agência, no prazo estabelecido da publicação desta decisão, relatório técnico acompanhado de Anotação de Responsabilidade Técnica — ART comprovando o valor de consumo específico utilizado para definição do  CVU estabelecido no item ""i.a"", ficando obrigada a apresentar, mensalmente, relatório técnico devidamente amparado em ART, indicando o consumo específico médio observado das Usinas Termelétricas, os quais serão acompanhados pela fiscalização da Agência. Imprimir"
"2021-10-08";"19.";"DSP - DESPACHO 3137/2021";"ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-05";"2021-10-08";"Aprovação";"Aprova e encaminha ao Ministério de Minas e Energia – MME, as minutas dos contratos de concessão que regularão a exploração dos potenciais de energia hidráulica abarcados pela Lei 14.182, de 12 de julho de 2021; conhece e, no mérito, nega provimento, ao recurso administrativo interposto pelo Sindicato dos Trabalhadores nas Indústrias Urbanas, nas Atividades de Meio Ambiente e nos Entes de Fiscalização e Regulação dos Serviços de Energia Elétrica, Saneamento, Gás e Meio Ambiente no Distrito Federal – STIU-DF, contra a abertura da Consulta Pública 048 de 2021. Imprimir"
"2021-10-08";"20.";"DSP - DESPACHO 3139/2021";"SCG/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-06";"2021-10-08";"Autorização";"Autoriza a STATKRAFT Comercialização de Energia S.A, a atuar como agente comercializador de energia elétrica no âmbito da Câmara de Comercialização de Energia Elétrica - CCEE. Imprimir"
"2021-10-08";"21.";"DSP - DESPACHO 3140/2021";"SCG/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-06";"2021-10-08";"Despacho de Registro do Requerimento de Outorga";"Registra o recebimento do requerimento de outorga e o posicionamento georreferenciado de seus aerogeradores das Centrais Geradoras Eólicas relacionadas nos Anexos, com a finalidade de produção independente de energia elétrica, no município de Gentio do Ouro, (BA), em favor da Eólica Serra de Gentio do Ouro S.A. Imprimir"
"2021-10-08";"22.";"DSP - DESPACHO 3141/2021";"SCG/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-06";"2021-10-08";"Despacho de Registro do Requerimento de Outorga";"Registra o requerimento de outorga das Centrais Geradoras Solares Fotovoltaicas relacionadas no Anexo I, visando à produção independente de energia elétrica, no município de Tacaimbó, (PE), em favor da Rio Alto Energia Empreendimentos e Participações Ltda. Imprimir"
"2021-10-08";"23.";"DSP - DESPACHO 3146/2021";"SCG/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-06";"2021-10-08";"Despacho de Registro do Requerimento de Outorga";"Registra o recebimento do requerimento de outorga da Usina Termelétrica São Roque Verde, com a finalidade de produção independente de energia elétrica, no município de Vargem, (SC), em favor da Infravix Participações S.A. Imprimir"
"2021-10-08";"24.";"DSP - DESPACHO 3151/2021";"CEL/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-07";"2021-10-08";"Habilitação";""
"2021-10-08";"25.";"DSP - DESPACHO 3154/2021";"SGT/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-07";"2021-10-08";"Fixação";"Fixa o Fator de Corte de Perdas Regulatórias, a ser considerado no cálculo dos reembolsos mensais da Conta de Consumo de Combustíveis das concessionárias de distribuição beneficiárias no ano civil de 2022. Imprimir"
"2021-10-08";"26.";"DSP - DESPACHO 3156/2021";"SFG/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2021-10-07";"2021-10-08";"Liberação";"Libera a unidade geradora UG9, para início da operação em teste, da Central Geradora Eólica Ventos de Santa Esperança 21, no município Morro do Chapéu, (BA), de titularidade da Enel Green Power Ventos de Santa Esperança 21 S.A. Imprimir"
